url,tweet,emoji,timestamp,reactions,is_retweeted,is_quoted,is_liked,is_bookmarked
https://www.twitter.com/siobhanfreya/status/1604162448281731072,"Not a snippy question about Irish international campaigns.
Croatia and IRL similar population 
Croatia coming out of a genocidal war been in finals of #FIFAWorldCup everytime since 1998. Ireland,  nothing since 2002
Reason? No grassroots development? Answers?",[],2022-12-17T17:11:46.000Z,"['113', '2']",0,0,1,0
https://www.twitter.com/goldendust17/status/1604158402355400705,"This loss is for the Moroccan people and all the Arabic people around the world. 

#CROMAR
#FIFAWorldCup",[],2022-12-17T16:55:41.000Z,"['271', '1', '4']",1,0,1,0
https://www.twitter.com/coolasleicester/status/1604537574218813440,"Love how my mum rang me after the penalties to say “France to need to get rid of that goalkeeper. Letting in all those penalties. He’s bloody crap.” 

#spursy #WorldCup #WorldCupFinal #hugolloris",[],2022-12-18T18:02:23.000Z,"['2,090', '9']",0,0,1,0
https://www.twitter.com/coolasleicester/status/1604518038497361920,"Bloody football, eh. #worldcupfinal",[],2022-12-18T16:44:45.000Z,"['1,424', '6']",0,0,1,0
https://www.twitter.com/orient1881/status/1604548976321396737,"Lionel Messi is the best ever, let’s not take that away, but why have they dressed him in a robe you’d want your missus to wear on your birthday?! #FIFAWorldCup",[],2022-12-18T18:47:41.000Z,"['1,574', '4']",0,0,1,0
https://www.twitter.com/losriley/status/1604777887965450241,"Absolute poetry from Peter Drury.
(On the World feed.)  #ArgentinaVsFrance
#FIFAWorldCup
#Messi","['https://abs-0.twimg.com/emoji/v2/svg/1f3c6.svg', 'https://abs-0.twimg.com/emoji/v2/svg/1f1e6-1f1f7.svg']",2022-12-18T23:19:44.000Z,"['1,536', '10', '2']",0,0,1,0
https://www.twitter.com/allontheboard/status/1604543806371676162,"Today’s Temperatures
(100% accurate, 34% of the time)

‘All On The Board Your Daily Companion’ is out in all good book shops. Get yours here: http://amzn.to/3CjJO4z
#allontheboard #fifaworldcup #qatar2022 @KMbappe @billieeilish #ArgentinaVsFrance #WorldCupFinal #Mbappe #Messi",[],2022-12-18T18:27:09.000Z,"['17.8K', '23', '1', '125', '1']",0,1,1,1
https://www.twitter.com/chrishaji10/status/1604549297697169408,The best World Cup Final ever and congratulations to Argentina and Lionel Messi for winning the World Cup. Diego would have been proud! #FIFAWorldCup #ArgentinaVsFrance #WorldCupFinal #WorldCup #ARGFRA #Messi𓃵,[],2022-12-18T18:48:58.000Z,"['439', '1', '4']",1,0,1,0
https://www.twitter.com/Chris191910/status/1604537232458743811,"I wasn’t bothered who won really, but if Bielsa is happy, that’ll do for me. #lufc #FIFAWorldCup",[],2022-12-18T18:01:01.000Z,"['1,253', '23']",0,0,1,0
https://www.twitter.com/JNotsolikely/status/1604537528727601157,#WorldCupFinal Lots of homoerotic kissing and cuddling going on in a country where being gay is illegal. #franceargentine,[],2022-12-18T18:02:12.000Z,"['398', '8']",0,0,1,0
https://www.twitter.com/Michelle_Kazi/status/1604536308269039624,"WHAT A GAME! BEST FINAL EVER!

Probably the most intense game I’ve ever seen! Commiserations to France - penalties… 

Alas, the stars were aligned for Messi - legendary player, incredible captain! Well deserved victory to Argentina!

#FIFAWorldCup #ARGFRA #WorldCupFinal","['https://abs-0.twimg.com/emoji/v2/svg/1f625.svg', 'https://abs-0.twimg.com/emoji/v2/svg/1f625.svg', 'https://abs-0.twimg.com/emoji/v2/svg/1f625.svg']",2022-12-18T17:57:21.000Z,"['4,501', '9', '63']",0,0,1,0
https://www.twitter.com/555Husker/status/1604538148825858048,Almost as a good a final as Cardiff in Bilbao. #WorldCupFinal,[],2022-12-18T18:04:40.000Z,"['370', '12']",0,0,1,0
https://www.twitter.com/DrShahTarfarosh/status/1604541994985918464,"Messi was diagnosed with growth hormone deficiency when he was young. Today he stands tall in the football world. 

Moral: Focus on your goals not your weaknesses! #WorldCupFinal #ARGFRA #Messi #Mbappe #WorldCup #FIFAWorldCupFinal",[],2022-12-18T18:19:57.000Z,"['2,471', '7', '41']",0,0,1,0
https://www.twitter.com/marijeangordon/status/1604148170241490947,"Anyone who says the play-off doesn't matter isn't watching #CROMAR right now. 

(Yes, yes it was me )
#FIFAWorldCup","['https://abs-0.twimg.com/emoji/v2/svg/1f525.svg', 'https://abs-0.twimg.com/emoji/v2/svg/1f644.svg']",2022-12-17T16:15:02.000Z,['261'],0,0,0,0
https://www.twitter.com/OkMatar/status/1604537949701414913,"A #WorldCupFinal that will live long in the memory… thank you #Argentina #LesBleus 

Congratulations to both teams 
#Messi𓃵 #Mbappe #ArgentinaVsFrance #WorldCup","['https://abs-0.twimg.com/emoji/v2/svg/1f64f.svg', 'https://abs-0.twimg.com/emoji/v2/svg/1f44f.svg', 'https://abs-0.twimg.com/emoji/v2/svg/1f64c.svg']",2022-12-18T17:55:16.000Z,"['1,538', '2', '10']",0,0,1,0
https://www.twitter.com/trinijayjay/status/1604106857529765889,#FIFAWorldCup #FIFASUCKS FIFA disbanded human rights board and did not replace it with independent advisers,[],2022-12-17T13:30:52.000Z,['57'],0,0,0,0
https://www.twitter.com/F1Dweeb/status/1604158562145832961,"Congratulations bronze medal for #cro
#FIFAWorldCup 

Enjoyable match #CROMAR
#Qatar2022",['https://abs.twimg.com/hashflags/Foris_Limited_Cryptocom_23/Foris_Limited_Cryptocom_23.png'],2022-12-17T16:56:19.000Z,"['209', '1']",0,0,0,0
https://www.twitter.com/iAmRadioAnt/status/1604539764786761729,That #FIFAWorldCup final had it all. Big shout to the ref Szymon Marciniak superb all way through. I think more ex pro should become refs.,[],2022-12-18T18:11:05.000Z,"['1,909', '18']",0,0,1,0
https://www.twitter.com/lfrfireofficer/status/1604533884082966529,This is one of the best games of football I’ve seen this year…second best in fact…still doesn’t beat @officialgtfc beating @Wrexham_AFC in the play off semi!  #WorldCupFinal #WorldCup #Qatar2022 #ARGFRA #GTFC #UTM,"['https://abs-0.twimg.com/emoji/v2/svg/1f5a4.svg', 'https://abs-0.twimg.com/emoji/v2/svg/1f90d.svg']",2022-12-18T17:47:43.000Z,"['1,248', '12']",0,0,1,0
